date	numbers	moneyball
Friday, January 28, 2011	[14, 33, 48, 49, 50]	18
Tuesday, January 25, 2011	[5, 8, 31, 46, 50]	04
Friday, January 21, 2011	[5, 9, 21, 35, 38]	20
Tuesday, January 18, 2011	[4, 27, 29, 38, 45]	05
Friday, January 14, 2011	[2, 15, 17, 33, 35]	08
Tuesday, January 11, 2011	[1, 4, 11, 16, 45]	37
Friday, January 7, 2011	[4, 22, 42, 46, 53]	20
Tuesday, January 4, 2011	[4, 8, 15, 25, 47]	42
Friday, December 31, 2010	[10, 12, 13, 35, 56]	09
Tuesday, December 28, 2010	[6, 18, 36, 40, 49]	07
Friday, December 24, 2010	[15, 16, 27, 40, 52]	16
Tuesday, December 21, 2010	[8, 11, 12, 31, 32]	29
Friday, December 17, 2010	[11, 20, 26, 46, 53]	12
Tuesday, December 14, 2010	[18, 22, 25, 31, 38]	29
Friday, December 10, 2010	[23, 27, 33, 44, 46]	36
Tuesday, December 7, 2010	[4, 38, 45, 53, 54]	09
Friday, December 3, 2010	[6, 11, 12, 18, 56]	12
Tuesday, November 30, 2010	[11, 16, 19, 47, 53]	02
Friday, November 26, 2010	[5, 9, 34, 43, 47]	08
Tuesday, November 23, 2010	[2, 6, 12, 34, 35]	33
Friday, November 19, 2010	[7, 14, 31, 51, 54]	35
Tuesday, November 16, 2010	[1, 26, 27, 39, 46]	21
Friday, November 12, 2010	[9, 26, 28, 35, 38]	10
Tuesday, November 9, 2010	[8, 26, 28, 33, 53]	11
Friday, November 5, 2010	[19, 25, 34, 46, 53]	15
Tuesday, November 2, 2010	[1, 3, 12, 16, 54]	46
Friday, October 29, 2010	[4, 19, 26, 28, 39]	14
Tuesday, October 26, 2010	[15, 21, 30, 31, 32]	26
Friday, October 22, 2010	[2, 7, 18, 32, 53]	18
Tuesday, October 19, 2010	[2, 9, 14, 37, 42]	41
Friday, October 15, 2010	[9, 10, 13, 31, 50]	10
Tuesday, October 12, 2010	[10, 31, 36, 37, 43]	15
Friday, October 8, 2010	[24, 29, 37, 48, 50]	19
Tuesday, October 5, 2010	[10, 19, 24, 37, 44]	27
Friday, October 1, 2010	[3, 8, 21, 28, 52]	43
Tuesday, September 28, 2010	[2, 10, 13, 36, 38]	18
Friday, September 24, 2010	[2, 28, 38, 42, 55]	25
Tuesday, September 21, 2010	[3, 20, 43, 47, 52]	26
Friday, September 17, 2010	[3, 4, 14, 18, 27]	13
Tuesday, September 14, 2010	[6, 14, 50, 55, 56]	01
Friday, September 10, 2010	[11, 12, 17, 21, 23]	20
Tuesday, September 7, 2010	[8, 18, 22, 24, 38]	23
Friday, September 3, 2010	[10, 13, 20, 28, 36]	09
Tuesday, August 31, 2010	[10, 20, 29, 47, 48]	38
Friday, August 27, 2010	[4, 10, 26, 32, 41]	31
Tuesday, August 24, 2010	[4, 23, 24, 28, 32]	31
Friday, August 20, 2010	[4, 13, 20, 29, 48]	36
Tuesday, August 17, 2010	[11, 19, 40, 43, 44]	33
Friday, August 13, 2010	[6, 17, 24, 43, 55]	36
Tuesday, August 10, 2010	[2, 14, 26, 50, 56]	12
Friday, August 6, 2010	[7, 13, 30, 33, 54]	30
Tuesday, August 3, 2010	[4, 13, 20, 22, 56]	32
Friday, July 30, 2010	[11, 30, 40, 48, 52]	42
Tuesday, July 27, 2010	[2, 7, 10, 16, 29]	08
Friday, July 23, 2010	[16, 19, 39, 44, 49]	26
Tuesday, July 20, 2010	[12, 18, 28, 36, 43]	19
Friday, July 16, 2010	[2, 15, 18, 20, 39]	34
Tuesday, July 13, 2010	[7, 11, 14, 15, 34]	14
Friday, July 9, 2010	[1, 31, 33, 34, 50]	41
Tuesday, July 6, 2010	[8, 18, 45, 47, 50]	36
Friday, July 2, 2010	[1, 10, 12, 32, 36]	25
Tuesday, June 29, 2010	[3, 4, 15, 27, 37]	35
Friday, June 25, 2010	[1, 2, 13, 19, 27]	21
Tuesday, June 22, 2010	[12, 17, 21, 23, 30]	24
Friday, June 18, 2010	[11, 36, 37, 41, 55]	07
Tuesday, June 15, 2010	[4, 12, 13, 21, 27]	46
Friday, June 11, 2010	[6, 13, 33, 34, 42]	25
Tuesday, June 8, 2010	[12, 18, 28, 48, 54]	06
Friday, June 4, 2010	[12, 13, 15, 17, 50]	23
Tuesday, June 1, 2010	[12, 27, 44, 45, 51]	30
Friday, May 28, 2010	[3, 11, 20, 29, 39]	26
Tuesday, May 25, 2010	[5, 14, 17, 19, 24]	25
Friday, May 21, 2010	[15, 20, 23, 26, 30]	17
Tuesday, May 18, 2010	[11, 13, 19, 37, 40]	26
Friday, May 14, 2010	[20, 21, 40, 47, 56]	12
Tuesday, May 11, 2010	[26, 33, 43, 46, 54]	09
Friday, May 7, 2010	[2, 7, 20, 34, 50]	40
Tuesday, May 4, 2010	[9, 21, 31, 36, 43]	08
Friday, April 30, 2010	[14, 20, 41, 47, 53]	40
Tuesday, April 27, 2010	[23, 37, 41, 50, 55]	06
Friday, April 23, 2010	[19, 26, 28, 37, 52]	18
Tuesday, April 20, 2010	[5, 8, 10, 34, 42]	25
Friday, April 16, 2010	[10, 16, 31, 48, 50]	44
Tuesday, April 13, 2010	[3, 12, 27, 39, 47]	32
Friday, April 9, 2010	[15, 18, 39, 48, 53]	03
Tuesday, April 6, 2010	[16, 43, 44, 52, 56]	26
Friday, April 2, 2010	[2, 17, 22, 30, 31]	19
Tuesday, March 30, 2010	[1, 11, 24, 38, 44]	41
Friday, March 26, 2010	[23, 41, 46, 47, 52]	22
Tuesday, March 23, 2010	[3, 25, 28, 29, 40]	13
Friday, March 19, 2010	[10, 31, 45, 50, 54]	25
Tuesday, March 16, 2010	[3, 22, 48, 52, 56]	13
Friday, March 12, 2010	[2, 15, 25, 48, 53]	41
Tuesday, March 9, 2010	[14, 16, 18, 19, 29]	16
Friday, March 5, 2010	[11, 31, 34, 44, 52]	32
Tuesday, March 2, 2010	[9, 12, 47, 48, 56]	25
Friday, February 26, 2010	[4, 14, 29, 54, 56]	40
Tuesday, February 23, 2010	[4, 16, 36, 40, 53]	18
Friday, February 19, 2010	[1, 22, 39, 42, 46]	36
Tuesday, February 16, 2010	[11, 12, 21, 29, 45]	05
Friday, February 12, 2010	[14, 16, 17, 33, 47]	23
Tuesday, February 9, 2010	[2, 17, 20, 26, 48]	12
Friday, February 5, 2010	[10, 20, 45, 51, 53]	41
Tuesday, February 2, 2010	[6, 7, 26, 27, 49]	09
Friday, January 29, 2010	[1, 10, 22, 23, 38]	19
Tuesday, January 26, 2010	[7, 8, 38, 39, 48]	22
Friday, January 22, 2010	[8, 13, 27, 28, 52]	09
Tuesday, January 19, 2010	[4, 5, 34, 38, 41]	18
Friday, January 15, 2010	[4, 7, 19, 21, 38]	29
Tuesday, January 12, 2010	[5, 9, 31, 37, 56]	16
Friday, January 8, 2010	[18, 20, 31, 36, 43]	33
Tuesday, January 5, 2010	[13, 28, 39, 50, 55]	10
Friday, January 1, 2010	[6, 8, 27, 40, 41]	21
Tuesday, December 29, 2009	[2, 5, 29, 35, 51]	03
Friday, December 25, 2009	[4, 16, 44, 52, 54]	20
Tuesday, December 22, 2009	[3, 33, 35, 39, 45]	13
Friday, December 18, 2009	[10, 20, 30, 44, 49]	24
Tuesday, December 15, 2009	[27, 31, 32, 36, 47]	35
Friday, December 11, 2009	[2, 21, 27, 34, 44]	45
Tuesday, December 8, 2009	[20, 23, 28, 30, 46]	29
Friday, December 4, 2009	[4, 33, 41, 51, 56]	38
Tuesday, December 1, 2009	[17, 30, 39, 52, 53]	21
Friday, November 27, 2009	[12, 25, 37, 39, 45]	11
Tuesday, November 24, 2009	[10, 11, 35, 37, 50]	12
Friday, November 20, 2009	[3, 4, 7, 16, 56]	39
Tuesday, November 17, 2009	[8, 22, 27, 49, 50]	28
Friday, November 13, 2009	[27, 43, 45, 49, 54]	44
Tuesday, November 10, 2009	[8, 21, 29, 34, 37]	15
Friday, November 6, 2009	[7, 11, 27, 40, 46]	08
Tuesday, November 3, 2009	[5, 18, 23, 31, 38]	20
Friday, October 30, 2009	[4, 15, 17, 29, 38]	20
Tuesday, October 27, 2009	[7, 13, 37, 46, 51]	02
Friday, October 23, 2009	[27, 45, 48, 54, 56]	02
Tuesday, October 20, 2009	[13, 17, 25, 45, 55]	08
Friday, October 16, 2009	[10, 13, 18, 33, 51]	43
Tuesday, October 13, 2009	[17, 31, 34, 45, 51]	24
Friday, October 9, 2009	[3, 14, 21, 24, 51]	14
Tuesday, October 6, 2009	[9, 33, 51, 53, 56]	39
Friday, October 2, 2009	[15, 24, 51, 53, 55]	11
Tuesday, September 29, 2009	[2, 21, 25, 45, 50]	21
Friday, September 25, 2009	[7, 27, 42, 49, 52]	19
Tuesday, September 22, 2009	[26, 29, 33, 39, 46]	24
Friday, September 18, 2009	[18, 27, 31, 36, 52]	33
Tuesday, September 15, 2009	[29, 30, 32, 35, 41]	39
Friday, September 11, 2009	[16, 27, 48, 49, 54]	02
Tuesday, September 8, 2009	[4, 10, 18, 28, 50]	35
Friday, September 4, 2009	[2, 4, 6, 21, 44]	37
Tuesday, September 1, 2009	[2, 9, 28, 51, 53]	19
Friday, August 28, 2009	[1, 17, 31, 37, 54]	31
Tuesday, August 25, 2009	[3, 12, 19, 22, 40]	02
Friday, August 21, 2009	[9, 38, 44, 48, 49]	13
Tuesday, August 18, 2009	[4, 5, 26, 37, 56]	25
Friday, August 14, 2009	[8, 22, 25, 33, 35]	46
Tuesday, August 11, 2009	[6, 12, 15, 32, 42]	40
Friday, August 7, 2009	[7, 18, 35, 45, 56]	03
Tuesday, August 4, 2009	[1, 28, 34, 42, 50]	27
Friday, July 31, 2009	[17, 35, 44, 52, 56]	22
Tuesday, July 28, 2009	[4, 17, 24, 25, 48]	34
Friday, July 24, 2009	[3, 6, 43, 51, 52]	36
Tuesday, July 21, 2009	[3, 8, 21, 50, 52]	02
Friday, July 17, 2009	[8, 17, 40, 47, 50]	13
Tuesday, July 14, 2009	[20, 29, 35, 45, 53]	41
Friday, July 10, 2009	[5, 10, 26, 27, 28]	04
Tuesday, July 7, 2009	[25, 27, 35, 38, 39]	28
Friday, July 3, 2009	[5, 6, 7, 11, 25]	31
Tuesday, June 30, 2009	[7, 34, 49, 54, 55]	34
Friday, June 26, 2009	[11, 15, 17, 29, 46]	16
Tuesday, June 23, 2009	[12, 14, 16, 31, 50]	09
Friday, June 19, 2009	[4, 9, 12, 16, 46]	44
Tuesday, June 16, 2009	[9, 15, 21, 26, 45]	25
Friday, June 12, 2009	[6, 11, 20, 32, 44]	38
Tuesday, June 9, 2009	[5, 17, 31, 36, 56]	46
Friday, June 5, 2009	[5, 20, 38, 41, 52]	20
Tuesday, June 2, 2009	[9, 13, 26, 30, 35]	33
Friday, May 29, 2009	[23, 30, 36, 39, 48]	34
Tuesday, May 26, 2009	[9, 18, 21, 37, 55]	33
Friday, May 22, 2009	[3, 29, 34, 42, 49]	29
Tuesday, May 19, 2009	[2, 4, 9, 15, 42]	13
Friday, May 15, 2009	[7, 12, 24, 36, 48]	27
Tuesday, May 12, 2009	[4, 8, 10, 14, 51]	31
Friday, May 8, 2009	[12, 27, 29, 32, 34]	34
Tuesday, May 5, 2009	[5, 23, 38, 39, 54]	03
Friday, May 1, 2009	[9, 16, 24, 40, 43]	35
Tuesday, April 28, 2009	[15, 20, 24, 36, 44]	06
Friday, April 24, 2009	[9, 20, 21, 48, 49]	07
Tuesday, April 21, 2009	[5, 24, 37, 47, 52]	06
Friday, April 17, 2009	[5, 13, 26, 35, 45]	32
Tuesday, April 14, 2009	[4, 11, 22, 48, 50]	42
Friday, April 10, 2009	[18, 25, 36, 42, 51]	22
Tuesday, April 7, 2009	[2, 4, 13, 17, 36]	15
Friday, April 3, 2009	[16, 22, 38, 39, 48]	42
Tuesday, March 31, 2009	[14, 39, 47, 48, 53]	29
Friday, March 27, 2009	[10, 15, 24, 38, 50]	19
Tuesday, March 24, 2009	[4, 25, 34, 43, 44]	45
Friday, March 20, 2009	[15, 16, 20, 39, 40]	26
Tuesday, March 17, 2009	[9, 15, 24, 28, 31]	17
Friday, March 13, 2009	[10, 12, 26, 46, 50]	23
Tuesday, March 10, 2009	[2, 27, 31, 39, 40]	23
Friday, March 6, 2009	[11, 18, 37, 46, 55]	45
Tuesday, March 3, 2009	[26, 32, 35, 43, 52]	10
Friday, February 27, 2009	[24, 37, 44, 50, 56]	35
Tuesday, February 24, 2009	[1, 27, 28, 35, 40]	06
Friday, February 20, 2009	[21, 28, 41, 45, 55]	24
Tuesday, February 17, 2009	[1, 9, 23, 27, 33]	24
Friday, February 13, 2009	[25, 36, 37, 40, 51]	20
Tuesday, February 10, 2009	[18, 29, 38, 43, 47]	07
Friday, February 6, 2009	[2, 12, 18, 28, 31]	03
Tuesday, February 3, 2009	[4, 15, 29, 43, 56]	29
Friday, January 30, 2009	[13, 16, 19, 53, 55]	02
Tuesday, January 27, 2009	[3, 11, 12, 14, 21]	25
Friday, January 23, 2009	[2, 17, 20, 27, 28]	07
Tuesday, January 20, 2009	[1, 9, 10, 35, 46]	09
Friday, January 16, 2009	[2, 4, 21, 39, 51]	29
Tuesday, January 13, 2009	[22, 25, 33, 36, 48]	40
Friday, January 9, 2009	[23, 25, 30, 45, 50]	08
Tuesday, January 6, 2009	[3, 11, 12, 19, 33]	30
Friday, January 2, 2009	[2, 11, 19, 21, 34]	38
Tuesday, December 30, 2008	[1, 22, 29, 44, 52]	39
Friday, December 26, 2008	[6, 19, 29, 33, 37]	31
Tuesday, December 23, 2008	[1, 8, 13, 27, 41]	45
Friday, December 19, 2008	[3, 13, 16, 39, 54]	32
Tuesday, December 16, 2008	[10, 14, 16, 29, 40]	06
Friday, December 12, 2008	[10, 16, 19, 27, 48]	25
Tuesday, December 9, 2008	[11, 12, 26, 31, 33]	27
Friday, December 5, 2008	[21, 27, 46, 52, 55]	14
Tuesday, December 2, 2008	[2, 17, 22, 32, 51]	35
Friday, November 28, 2008	[10, 30, 44, 46, 48]	44
Tuesday, November 25, 2008	[2, 11, 22, 51, 52]	46
Friday, November 21, 2008	[1, 22, 52, 53, 56]	45
Tuesday, November 18, 2008	[10, 15, 22, 52, 53]	12
Friday, November 14, 2008	[3, 18, 19, 30, 34]	03
Tuesday, November 11, 2008	[5, 27, 38, 42, 55]	41
Friday, November 7, 2008	[14, 24, 32, 43, 44]	21
Tuesday, November 4, 2008	[10, 21, 23, 41, 55]	09
Friday, October 31, 2008	[2, 7, 17, 29, 47]	40
Tuesday, October 28, 2008	[6, 39, 45, 46, 48]	36
Friday, October 24, 2008	[5, 33, 34, 47, 52]	18
Tuesday, October 21, 2008	[16, 19, 39, 42, 44]	38
Friday, October 17, 2008	[7, 15, 27, 28, 31]	35
Tuesday, October 14, 2008	[14, 35, 41, 42, 51]	23
Friday, October 10, 2008	[14, 15, 43, 46, 48]	21
Tuesday, October 7, 2008	[2, 25, 35, 38, 42]	34
Friday, October 3, 2008	[13, 28, 32, 41, 52]	16
Tuesday, September 30, 2008	[9, 30, 35, 39, 49]	36
Friday, September 26, 2008	[6, 13, 14, 31, 36]	36
Tuesday, September 23, 2008	[9, 32, 34, 43, 52]	04
Friday, September 19, 2008	[2, 9, 41, 48, 51]	37
Tuesday, September 16, 2008	[13, 24, 39, 51, 52]	44
Friday, September 12, 2008	[1, 12, 14, 25, 35]	38
Tuesday, September 9, 2008	[22, 23, 28, 49, 52]	02
Friday, September 5, 2008	[1, 6, 15, 27, 46]	39
Tuesday, September 2, 2008	[14, 23, 43, 44, 54]	39
Friday, August 29, 2008	[21, 25, 26, 50, 51]	22
Tuesday, August 26, 2008	[6, 16, 24, 34, 36]	30
Friday, August 22, 2008	[12, 13, 15, 41, 42]	37
Tuesday, August 19, 2008	[9, 18, 19, 26, 40]	38
Friday, August 15, 2008	[8, 23, 29, 30, 53]	07
Tuesday, August 12, 2008	[2, 7, 23, 38, 40]	40
Friday, August 8, 2008	[11, 17, 28, 32, 50]	33
Tuesday, August 5, 2008	[9, 21, 36, 38, 55]	13
Friday, August 1, 2008	[9, 13, 17, 18, 56]	02
Tuesday, July 29, 2008	[11, 13, 20, 30, 42]	03
Friday, July 25, 2008	[2, 16, 19, 35, 52]	17
Tuesday, July 22, 2008	[2, 16, 23, 29, 32]	46
Friday, July 18, 2008	[17, 29, 36, 53, 55]	26
Tuesday, July 15, 2008	[19, 24, 34, 45, 51]	40
Friday, July 11, 2008	[5, 14, 16, 39, 51]	34
Tuesday, July 8, 2008	[1, 20, 22, 29, 41]	35
Friday, July 4, 2008	[1, 3, 12, 19, 20]	28
Tuesday, July 1, 2008	[1, 22, 33, 43, 52]	36
Friday, June 27, 2008	[8, 14, 22, 39, 50]	44
Tuesday, June 24, 2008	[10, 22, 36, 50, 53]	39
Friday, June 20, 2008	[11, 17, 25, 36, 42]	13
Tuesday, June 17, 2008	[5, 14, 25, 47, 49]	36
Friday, June 13, 2008	[8, 9, 14, 38, 44]	36
Tuesday, June 10, 2008	[3, 5, 15, 43, 51]	11
Friday, June 6, 2008	[8, 9, 43, 44, 54]	27
Tuesday, June 3, 2008	[4, 19, 24, 32, 54]	05
Friday, May 30, 2008	[39, 40, 47, 53, 55]	32
Tuesday, May 27, 2008	[14, 24, 32, 45, 49]	17
Friday, May 23, 2008	[4, 8, 11, 22, 30]	04
Tuesday, May 20, 2008	[2, 14, 26, 32, 41]	32
Friday, May 16, 2008	[6, 11, 39, 46, 47]	26
Tuesday, May 13, 2008	[20, 24, 27, 31, 47]	15
Friday, May 9, 2008	[16, 31, 43, 46, 56]	22
Tuesday, May 6, 2008	[4, 21, 46, 53, 54]	26
Friday, May 2, 2008	[8, 28, 37, 53, 55]	26
Tuesday, April 29, 2008	[19, 24, 35, 44, 51]	26
Friday, April 25, 2008	[19, 32, 37, 45, 52]	41
Tuesday, April 22, 2008	[3, 22, 31, 48, 54]	09
Friday, April 18, 2008	[24, 28, 36, 50, 53]	29
Tuesday, April 15, 2008	[12, 13, 27, 48, 50]	30
Friday, April 11, 2008	[14, 18, 27, 31, 42]	07
Tuesday, April 8, 2008	[8, 9, 31, 37, 44]	38
Friday, April 4, 2008	[3, 5, 40, 45, 49]	17
Tuesday, April 1, 2008	[4, 17, 26, 46, 56]	25
Friday, March 28, 2008	[7, 26, 27, 40, 43]	10
Tuesday, March 25, 2008	[38, 42, 43, 48, 53]	12
Friday, March 21, 2008	[5, 8, 17, 19, 41]	21
Tuesday, March 18, 2008	[13, 15, 20, 25, 44]	37
Friday, March 14, 2008	[3, 12, 18, 25, 52]	21
Tuesday, March 11, 2008	[4, 13, 35, 41, 47]	44
Friday, March 7, 2008	[19, 32, 33, 41, 48]	12
Tuesday, March 4, 2008	[7, 15, 30, 33, 56]	22
Friday, February 29, 2008	[5, 17, 22, 26, 55]	38
Tuesday, February 26, 2008	[9, 12, 30, 36, 55]	15
Friday, February 22, 2008	[7, 12, 13, 19, 22]	10
Tuesday, February 19, 2008	[1, 38, 42, 55, 56]	34
Friday, February 15, 2008	[7, 11, 26, 30, 53]	14
Tuesday, February 12, 2008	[14, 27, 39, 47, 50]	12
Friday, February 8, 2008	[21, 30, 43, 46, 50]	18
Tuesday, February 5, 2008	[4, 5, 17, 40, 51]	38
Friday, February 1, 2008	[3, 14, 30, 44, 56]	05
Tuesday, January 29, 2008	[8, 23, 39, 40, 42]	24
Friday, January 25, 2008	[5, 12, 22, 38, 56]	22
Tuesday, January 22, 2008	[12, 15, 22, 25, 33]	02
Friday, January 18, 2008	[12, 22, 33, 43, 44]	15
Tuesday, January 15, 2008	[21, 30, 42, 44, 50]	06
Friday, January 11, 2008	[22, 36, 42, 45, 55]	42
Tuesday, January 8, 2008	[10, 29, 45, 52, 54]	10
Friday, January 4, 2008	[24, 31, 39, 40, 56]	32
Tuesday, January 1, 2008	[13, 16, 25, 30, 54]	11
Friday, December 28, 2007	[2, 19, 22, 28, 54]	25
Tuesday, December 25, 2007	[19, 36, 37, 48, 52]	08
Friday, December 21, 2007	[14, 19, 20, 43, 53]	07
Tuesday, December 18, 2007	[3, 23, 46, 48, 49]	02
Friday, December 14, 2007	[4, 7, 12, 17, 30]	44
Tuesday, December 11, 2007	[6, 25, 27, 30, 45]	46
Friday, December 7, 2007	[12, 18, 26, 28, 51]	35
Tuesday, December 4, 2007	[16, 27, 30, 45, 53]	43
Friday, November 30, 2007	[5, 6, 12, 26, 51]	07
Tuesday, November 27, 2007	[9, 10, 26, 29, 39]	10
Friday, November 23, 2007	[18, 21, 33, 42, 56]	11
Tuesday, November 20, 2007	[14, 20, 23, 42, 43]	06
Friday, November 16, 2007	[12, 13, 30, 31, 39]	29
Tuesday, November 13, 2007	[15, 26, 36, 39, 40]	45
Friday, November 9, 2007	[11, 33, 41, 42, 46]	21
Tuesday, November 6, 2007	[3, 17, 43, 46, 47]	02
Friday, November 2, 2007	[1, 3, 34, 49, 52]	19
Tuesday, October 30, 2007	[2, 8, 44, 46, 51]	22
Friday, October 26, 2007	[12, 20, 24, 38, 51]	03
Tuesday, October 23, 2007	[2, 7, 45, 52, 53]	18
Friday, October 19, 2007	[5, 15, 18, 23, 46]	14
Tuesday, October 16, 2007	[1, 2, 5, 41, 44]	25
Friday, October 12, 2007	[21, 26, 34, 44, 54]	23
Tuesday, October 9, 2007	[1, 10, 17, 32, 51]	44
Friday, October 5, 2007	[10, 19, 37, 40, 48]	01
Tuesday, October 2, 2007	[28, 37, 40, 43, 44]	20
Friday, September 28, 2007	[4, 13, 20, 25, 33]	42
Tuesday, September 25, 2007	[2, 19, 23, 47, 54]	16
Friday, September 21, 2007	[5, 21, 23, 33, 45]	43
Tuesday, September 18, 2007	[20, 24, 31, 34, 49]	08
Friday, September 14, 2007	[5, 9, 12, 33, 40]	27
Tuesday, September 11, 2007	[9, 10, 17, 21, 35]	06
Friday, September 7, 2007	[14, 19, 27, 34, 48]	03
Tuesday, September 4, 2007	[3, 6, 11, 42, 46]	38
Friday, August 31, 2007	[8, 18, 22, 40, 44]	11
Tuesday, August 28, 2007	[37, 40, 48, 53, 56]	44
Friday, August 24, 2007	[4, 21, 46, 51, 53]	05
Tuesday, August 21, 2007	[8, 38, 54, 55, 56]	02
Friday, August 17, 2007	[2, 8, 33, 38, 53]	12
Tuesday, August 14, 2007	[5, 8, 9, 24, 34]	17
Friday, August 10, 2007	[10, 20, 32, 33, 54]	39
Tuesday, August 7, 2007	[36, 41, 50, 55, 56]	09
Friday, August 3, 2007	[16, 29, 42, 46, 51]	40
Tuesday, July 31, 2007	[5, 18, 37, 39, 43]	42
Friday, July 27, 2007	[7, 12, 35, 54, 55]	02
Tuesday, July 24, 2007	[8, 17, 20, 23, 50]	17
Friday, July 20, 2007	[6, 13, 30, 41, 52]	26
Tuesday, July 17, 2007	[16, 30, 38, 46, 51]	05
Friday, July 13, 2007	[7, 39, 41, 48, 53]	21
Tuesday, July 10, 2007	[19, 24, 30, 34, 56]	19
Friday, July 6, 2007	[3, 9, 12, 25, 47]	37
Tuesday, July 3, 2007	[21, 35, 37, 39, 40]	35
Friday, June 29, 2007	[1, 17, 40, 51, 52]	07
Tuesday, June 26, 2007	[4, 10, 20, 29, 45]	21
Friday, June 22, 2007	[11, 14, 21, 24, 31]	23
Tuesday, June 19, 2007	[5, 16, 31, 49, 54]	19
Friday, June 15, 2007	[1, 5, 16, 26, 30]	21
Tuesday, June 12, 2007	[3, 13, 19, 31, 50]	21
Friday, June 8, 2007	[6, 26, 29, 31, 39]	31
Tuesday, June 5, 2007	[27, 35, 38, 49, 56]	15
Friday, June 1, 2007	[12, 19, 29, 32, 48]	09
Tuesday, May 29, 2007	[2, 24, 44, 51, 54]	07
Friday, May 25, 2007	[10, 14, 22, 42, 43]	01
Tuesday, May 22, 2007	[2, 7, 11, 22, 36]	35
Friday, May 18, 2007	[13, 23, 24, 30, 44]	05
Tuesday, May 15, 2007	[6, 13, 42, 46, 56]	42
Friday, May 11, 2007	[28, 30, 33, 48, 54]	25
Tuesday, May 8, 2007	[16, 24, 41, 43, 54]	36
Friday, May 4, 2007	[4, 9, 20, 45, 55]	34
Tuesday, May 1, 2007	[11, 16, 31, 52, 53]	42
Friday, April 27, 2007	[5, 7, 26, 38, 56]	15
Tuesday, April 24, 2007	[8, 10, 35, 36, 43]	14
Friday, April 20, 2007	[1, 9, 10, 23, 53]	40
Tuesday, April 17, 2007	[1, 4, 11, 31, 47]	37
Friday, April 13, 2007	[11, 14, 21, 25, 26]	33
Tuesday, April 10, 2007	[7, 15, 16, 19, 28]	10
Friday, April 6, 2007	[24, 32, 34, 36, 39]	06
Tuesday, April 3, 2007	[16, 26, 33, 34, 46]	38
Friday, March 30, 2007	[15, 23, 37, 48, 53]	22
Tuesday, March 27, 2007	[18, 25, 34, 35, 42]	06
Friday, March 23, 2007	[18, 21, 35, 51, 53]	36
Tuesday, March 20, 2007	[7, 21, 46, 49, 55]	15
Friday, March 16, 2007	[17, 25, 36, 40, 43]	09
Tuesday, March 13, 2007	[7, 11, 16, 38, 49]	35
Friday, March 9, 2007	[10, 13, 25, 42, 43]	30
Tuesday, March 6, 2007	[16, 22, 29, 39, 42]	20
Friday, March 2, 2007	[14, 21, 33, 35, 51]	43
Tuesday, February 27, 2007	[18, 31, 44, 45, 48]	18
Friday, February 23, 2007	[3, 18, 21, 38, 50]	43
Tuesday, February 20, 2007	[1, 9, 26, 46, 51]	11
Friday, February 16, 2007	[17, 35, 40, 46, 48]	41
Tuesday, February 13, 2007	[3, 9, 24, 29, 41]	41
Friday, February 9, 2007	[32, 39, 46, 48, 49]	41
Tuesday, February 6, 2007	[16, 21, 35, 36, 46]	38
Friday, February 2, 2007	[22, 33, 35, 40, 53]	15
Tuesday, January 30, 2007	[14, 18, 44, 52, 56]	25
Friday, January 26, 2007	[16, 17, 36, 49, 54]	14
Tuesday, January 23, 2007	[3, 5, 15, 26, 53]	35
Friday, January 19, 2007	[4, 28, 30, 31, 35]	17
Tuesday, January 16, 2007	[4, 8, 15, 33, 52]	10
Friday, January 12, 2007	[12, 14, 26, 40, 42]	22
Tuesday, January 9, 2007	[7, 11, 26, 38, 54]	13
Friday, January 5, 2007	[2, 12, 44, 46, 51]	06
Tuesday, January 2, 2007	[9, 10, 38, 51, 53]	01
Friday, December 29, 2006	[3, 4, 10, 39, 50]	29
Tuesday, December 26, 2006	[7, 12, 25, 44, 53]	03
Friday, December 22, 2006	[5, 12, 15, 25, 34]	43
Tuesday, December 19, 2006	[9, 32, 37, 42, 48]	07
Friday, December 15, 2006	[6, 7, 17, 28, 40]	39
Tuesday, December 12, 2006	[20, 30, 31, 35, 49]	23
Friday, December 8, 2006	[1, 15, 29, 32, 45]	08
Tuesday, December 5, 2006	[6, 9, 13, 43, 46]	45
Friday, December 1, 2006	[16, 22, 23, 37, 53]	35
Tuesday, November 28, 2006	[7, 14, 24, 41, 56]	07
Friday, November 24, 2006	[14, 35, 40, 47, 48]	35
Tuesday, November 21, 2006	[7, 13, 20, 42, 47]	09
Friday, November 17, 2006	[5, 19, 25, 30, 50]	42
Tuesday, November 14, 2006	[9, 20, 24, 25, 36]	23
Friday, November 10, 2006	[11, 42, 52, 53, 55]	28
Tuesday, November 7, 2006	[13, 22, 33, 51, 52]	42
Friday, November 3, 2006	[8, 10, 22, 25, 55]	22
Tuesday, October 31, 2006	[5, 34, 40, 45, 46]	21
Friday, October 27, 2006	[15, 22, 26, 30, 32]	31
Tuesday, October 24, 2006	[5, 25, 41, 48, 51]	35
Friday, October 20, 2006	[9, 13, 23, 29, 54]	34
Tuesday, October 17, 2006	[6, 18, 20, 28, 38]	37
Friday, October 13, 2006	[24, 27, 42, 47, 50]	08
Tuesday, October 10, 2006	[14, 30, 35, 40, 43]	02
Friday, October 6, 2006	[1, 11, 20, 21, 46]	18
